  Buy Price    Sell Price  Buy Time                   Sell Time                      Profit           Capital
-----------  ------------  -------------------------  -------------------------  ----------  ----------------
      279.7         293.5  2001-11-01 00:00:00-05:00  2002-03-06 00:00:00-05:00   13.8         1049.34
      291.1         291    2002-03-11 00:00:00-05:00  2002-03-14 00:00:00-05:00   -0.100006    1048.98
      292.1         318.7  2002-03-18 00:00:00-05:00  2002-06-10 00:00:00-04:00   26.6         1144.5
      317.4         319.2  2002-06-17 00:00:00-04:00  2002-06-27 00:00:00-04:00    1.80002     1150.99
      312.1         323.6  2002-07-08 00:00:00-04:00  2002-07-22 00:00:00-04:00   11.5         1193.4
      307.8         306    2002-08-05 00:00:00-04:00  2002-08-19 00:00:00-04:00   -1.79999     1186.43
      309.4         317.8  2002-08-26 00:00:00-04:00  2002-10-14 00:00:00-04:00    8.39999     1218.64
      310.9         363.7  2002-10-21 00:00:00-04:00  2003-02-10 00:00:00-05:00   52.8         1425.6
      356.3         346.5  2003-02-24 00:00:00-05:00  2003-03-12 00:00:00-05:00   -9.79999     1386.39
      329.5         321.5  2003-03-24 00:00:00-05:00  2003-04-07 00:00:00-04:00   -8           1352.73
      322.2         361.8  2003-04-08 00:00:00-04:00  2003-06-09 00:00:00-04:00   39.6         1518.98
      359           353    2003-06-16 00:00:00-04:00  2003-06-23 00:00:00-04:00   -6           1493.6
      346           347.7  2003-06-30 00:00:00-04:00  2003-07-14 00:00:00-04:00    1.70001     1500.93
      343.1         354    2003-07-16 00:00:00-04:00  2003-07-31 00:00:00-04:00   10.9         1548.62
      350.8         383.1  2003-08-06 00:00:00-04:00  2003-10-02 00:00:00-04:00   32.3         1691.21
      372.7         375.4  2003-10-06 00:00:00-04:00  2003-10-08 00:00:00-04:00    2.69998     1703.46
      369.2         377    2003-10-09 00:00:00-04:00  2003-11-03 00:00:00-05:00    7.79999     1739.45
      379.9         382.6  2003-11-04 00:00:00-05:00  2003-11-05 00:00:00-05:00    2.70001     1751.81
      380.6         391.5  2003-11-06 00:00:00-05:00  2003-11-24 00:00:00-05:00   10.9         1801.98
      391.1         421.7  2003-11-25 00:00:00-05:00  2004-01-14 00:00:00-05:00   30.6         1942.97
      406.6         414.5  2004-01-26 00:00:00-05:00  2004-01-28 00:00:00-05:00    7.89999     1980.72
      398.5         398.7  2004-01-29 00:00:00-05:00  2004-02-02 00:00:00-05:00    0.200012    1981.71
      399.2         401    2004-02-03 00:00:00-05:00  2004-02-04 00:00:00-05:00    1.79999     1990.65
      398.1         404.5  2004-02-05 00:00:00-05:00  2004-02-24 00:00:00-05:00    6.39999     2022.65
      399.3         420.1  2004-03-01 00:00:00-05:00  2004-04-12 00:00:00-04:00   20.8         2128.01
      396           398.6  2004-04-26 00:00:00-04:00  2004-04-27 00:00:00-04:00    2.60001     2141.98
