  Buy Price    Sell Price  Buy Time                   Sell Time                        Profit           Capital
-----------  ------------  -------------------------  -------------------------  ------------  ----------------
    92.1325       91.1223  1999-11-19 00:00:00-05:00  1999-11-29 00:00:00-05:00   -1.01022        989.035
    90.0515       91.8901  1999-11-30 00:00:00-05:00  1999-12-13 00:00:00-05:00    1.83858       1009.23
    91.0011       94.2626  1999-12-14 00:00:00-05:00  2000-01-03 00:00:00-05:00    3.2615        1045.4
    89.2801       93.655   2000-01-06 00:00:00-05:00  2000-01-11 00:00:00-05:00    4.37489       1096.63
    92.7232       90.9612  2000-01-12 00:00:00-05:00  2000-01-24 00:00:00-05:00   -1.76209       1075.79
    90.4548       91.4371  2000-01-31 00:00:00-05:00  2000-02-15 00:00:00-05:00    0.982315      1087.47
    88.2269       89.8269  2000-02-28 00:00:00-05:00  2000-03-13 00:00:00-05:00    1.60005       1107.19
    88.5509       98.279   2000-03-14 00:00:00-05:00  2000-04-03 00:00:00-04:00    9.72811       1228.83
    97.7815       97.7307  2000-04-06 00:00:00-04:00  2000-04-11 00:00:00-04:00   -0.0507507     1228.19
    91.4563       93.6493  2000-04-17 00:00:00-04:00  2000-05-02 00:00:00-04:00    2.193         1257.64
    92.1467       92.563   2000-05-04 00:00:00-04:00  2000-05-08 00:00:00-04:00    0.416283      1263.32
    91.8014       91.0096  2000-05-11 00:00:00-04:00  2000-05-22 00:00:00-04:00   -0.791847      1252.42
    89.6694       91.1314  2000-05-23 00:00:00-04:00  2000-05-24 00:00:00-04:00    1.46201       1272.84
    95.5986       95.6405  2000-06-05 00:00:00-04:00  2000-07-24 00:00:00-04:00    0.0419464     1273.4
    93.1371       97.4316  2000-07-31 00:00:00-04:00  2000-09-11 00:00:00-04:00    4.29451       1332.12
    96.9737       97.4622  2000-09-13 00:00:00-04:00  2000-09-14 00:00:00-04:00    0.48851       1338.83
    94.4525       95.3095  2000-09-18 00:00:00-04:00  2000-09-19 00:00:00-04:00    0.857018      1350.98
