  Buy Price    Sell Price  Buy Time                   Sell Time                       Profit     Capital
-----------  ------------  -------------------------  -------------------------  -----------  ----------
    92.2134       90.5763  1999-11-18 00:00:00-05:00  2000-01-04 00:00:00-05:00   -1.63705       982.247
    89.2801       90.9611  2000-01-06 00:00:00-05:00  2000-01-24 00:00:00-05:00    1.68108      1000.74
    92.2777       91.7511  2000-02-07 00:00:00-05:00  2000-02-10 00:00:00-05:00   -0.526611      995.031
    90.4143       90.0902  2000-02-14 00:00:00-05:00  2000-02-16 00:00:00-05:00   -0.324089      991.464
    88.2269       93.7305  2000-02-28 00:00:00-05:00  2000-04-13 00:00:00-04:00    5.50367      1053.31
    95.558        93.6492  2000-05-01 00:00:00-04:00  2000-05-02 00:00:00-04:00   -1.9088       1032.27
    92.1467       91.8219  2000-05-04 00:00:00-04:00  2000-05-09 00:00:00-04:00   -0.324821     1028.63
    89.7506       91.0096  2000-05-10 00:00:00-04:00  2000-05-22 00:00:00-04:00    1.25893      1043.06
    89.6694       91.1314  2000-05-23 00:00:00-04:00  2000-05-24 00:00:00-04:00    1.46199      1060.07
    95.5986       94.6839  2000-06-05 00:00:00-04:00  2000-07-27 00:00:00-04:00   -0.914734     1049.93
    94.175        97.4622  2000-08-02 00:00:00-04:00  2000-09-14 00:00:00-04:00    3.28716      1086.57
    90.9633       91.147   2000-10-19 00:00:00-04:00  2000-10-24 00:00:00-04:00    0.183655     1088.77
    89.2494       89.2085  2000-10-26 00:00:00-04:00  2000-11-10 00:00:00-05:00   -0.0408249    1088.27
    90.8409       87.9435  2000-11-14 00:00:00-05:00  2000-11-20 00:00:00-05:00   -2.89746      1053.56
    87.0661       88.4842  2000-12-04 00:00:00-05:00  2000-12-06 00:00:00-05:00    1.4181       1070.72
    90.5145       85.1534  2000-12-11 00:00:00-05:00  2000-12-19 00:00:00-05:00   -5.36108      1007.3
    83.2602       87.3307  2000-12-21 00:00:00-05:00  2001-02-15 00:00:00-05:00    4.07049      1056.55
    76.1391       77.6954  2001-03-26 00:00:00-05:00  2001-03-27 00:00:00-05:00    1.55639      1078.14
    72.7964       75.5546  2001-04-04 00:00:00-04:00  2001-04-05 00:00:00-04:00    2.75816      1118.99
    75.2328       81.9575  2001-04-09 00:00:00-04:00  2001-06-13 00:00:00-04:00    6.72472      1219.01
    81.7494       80.1358  2001-07-02 00:00:00-04:00  2001-07-05 00:00:00-04:00   -1.61353      1194.95
