  Buy Price    Sell Price  Buy Time                   Sell Time                          Profit           Capital
-----------  ------------  -------------------------  -------------------------  --------------  ----------------
209891        214142       2010-11-19 00:00:00-05:00  2010-11-23 00:00:00-05:00   4250.95          1020.25
205522        213434       2010-11-29 00:00:00-05:00  2010-11-30 00:00:00-05:00   7911.52          1059.53
187278        188577       2010-12-13 00:00:00-05:00  2010-12-15 00:00:00-05:00   1298.91          1066.88
180134        175706       2010-12-22 00:00:00-05:00  2011-01-03 00:00:00-05:00  -4428.05          1040.65
164489        163780       2011-01-24 00:00:00-05:00  2011-01-25 00:00:00-05:00   -708.484         1036.17
158112        167677       2011-01-27 00:00:00-05:00  2011-01-31 00:00:00-05:00   9564.73          1098.85
150968        167677       2011-02-28 00:00:00-05:00  2011-03-22 00:00:00-04:00  16708.7           1220.47
151145        156282       2011-04-04 00:00:00-04:00  2011-04-19 00:00:00-04:00   5136.58          1261.94
137507        173640       2011-05-02 00:00:00-04:00  2011-06-20 00:00:00-04:00  36133.1           1593.55
138629        141581       2011-07-11 00:00:00-04:00  2011-07-18 00:00:00-04:00   2952.08          1627.48
131662        133433       2011-07-19 00:00:00-04:00  2011-07-20 00:00:00-04:00   1771.23          1649.38
126348        153684       2011-07-26 00:00:00-04:00  2011-08-15 00:00:00-04:00  27336             2006.23
160415        183500       2011-08-17 00:00:00-04:00  2011-08-18 00:00:00-04:00  23085.1           2294.94
136149        159116       2011-09-21 00:00:00-04:00  2011-10-04 00:00:00-04:00  22967             2682.07
110348        116842       2011-10-24 00:00:00-04:00  2011-10-26 00:00:00-04:00   6494.51          2839.93
112237        117905       2011-10-31 00:00:00-04:00  2011-11-02 00:00:00-04:00   5667.95          2983.34
110525        109817       2011-11-03 00:00:00-04:00  2011-11-07 00:00:00-05:00   -708.484         2964.22
105979        112769       2011-11-08 00:00:00-05:00  2011-11-14 00:00:00-05:00   6789.76          3154.13
109108        128119       2011-11-15 00:00:00-05:00  2011-11-28 00:00:00-05:00  19011.2           3703.71
115248        105388       2011-12-12 00:00:00-05:00  2012-01-09 00:00:00-05:00  -9859.88          3386.85
 75159.4       75690.7     2012-03-05 00:00:00-05:00  2012-03-07 00:00:00-05:00    531.359         3410.79
 61757         64295.8     2012-04-03 00:00:00-04:00  2012-04-04 00:00:00-04:00   2538.75          3551
 64532         71498.8     2012-04-09 00:00:00-04:00  2012-04-24 00:00:00-04:00   6966.83          3934.37
 64000.6       82701.9     2012-05-02 00:00:00-04:00  2012-06-05 00:00:00-04:00  18701.3           5084.01
 69786.6       74997       2012-06-20 00:00:00-04:00  2012-06-21 00:00:00-04:00   5210.39          5463.59
 76901.1       76369.7     2012-06-25 00:00:00-04:00  2012-06-28 00:00:00-04:00   -531.383         5425.84
 69624.3       70952.7     2012-07-09 00:00:00-04:00  2012-07-17 00:00:00-04:00   1328.39          5529.36
 70849.4       71159.3     2012-07-23 00:00:00-04:00  2012-07-26 00:00:00-04:00    309.969         5553.55
 66214.6       67425       2012-07-30 00:00:00-04:00  2012-08-02 00:00:00-04:00   1210.35          5655.07
 55912         54893.5     2012-08-27 00:00:00-04:00  2012-09-12 00:00:00-04:00  -1018.46          5552.06
 51897.2       61151.9     2012-09-24 00:00:00-04:00  2012-11-05 00:00:00-05:00   9254.7           6542.14
 60768.1       65830.9     2012-11-06 00:00:00-05:00  2012-11-19 00:00:00-05:00   5062.78          7087.19
 60074.4       61535.6     2012-12-03 00:00:00-05:00  2012-12-10 00:00:00-05:00   1461.26          7259.58
 59159.2       60133.4     2012-12-11 00:00:00-05:00  2012-12-17 00:00:00-05:00    974.188         7379.12
 60443.4       59853       2012-12-24 00:00:00-05:00  2012-12-31 00:00:00-05:00   -590.41          7307.04
 54686.9       54760.7     2013-01-14 00:00:00-05:00  2013-01-31 00:00:00-05:00     73.8008        7316.9
 55616.8       53520.8     2013-02-04 00:00:00-05:00  2013-02-07 00:00:00-05:00  -2095.96          7041.16
 51882.4       52177.6     2013-02-11 00:00:00-05:00  2013-03-04 00:00:00-05:00    295.207         7081.22
 50317.8       49166.5     2013-03-18 00:00:00-04:00  2013-03-27 00:00:00-04:00  -1151.3           6919.2
 49830.7       49343.6     2013-04-01 00:00:00-04:00  2013-04-09 00:00:00-04:00   -487.09          6851.57
 47321.5       47232.9     2013-04-16 00:00:00-04:00  2013-04-24 00:00:00-04:00    -88.5703        6838.74
 38332.5       40148       2013-05-21 00:00:00-04:00  2013-06-17 00:00:00-04:00   1815.52          7162.64
 39159         41609.2     2013-06-18 00:00:00-04:00  2013-07-01 00:00:00-04:00   2450.21          7610.82
 36457.9       35749.4     2013-07-22 00:00:00-04:00  2013-07-29 00:00:00-04:00   -708.496         7462.91
 33801         34376.7     2013-08-12 00:00:00-04:00  2013-08-22 00:00:00-04:00    575.652         7590.01
 33638.7       31956       2013-08-26 00:00:00-04:00  2013-09-09 00:00:00-04:00  -1682.68          7210.34
 30450.5       30730.9     2013-09-24 00:00:00-04:00  2013-09-25 00:00:00-04:00    280.445         7276.75
 29476.3       29446.8     2013-10-02 00:00:00-04:00  2013-10-15 00:00:00-04:00    -29.5254        7269.46
 25727.2       26096.2     2013-10-29 00:00:00-04:00  2013-11-12 00:00:00-05:00    369.004         7373.72
 25476.2       25889.5     2013-11-18 00:00:00-05:00  2013-11-20 00:00:00-05:00    413.289         7493.34
 22716.1       23586.9     2013-12-09 00:00:00-05:00  2013-12-17 00:00:00-05:00    870.855         7780.61
 22775.1       22981.8     2013-12-18 00:00:00-05:00  2013-12-19 00:00:00-05:00    206.648         7851.21
 21181         22568.5     2013-12-31 00:00:00-05:00  2014-01-13 00:00:00-05:00   1387.47          8365.51
 22513.1       22450.4     2014-01-27 00:00:00-05:00  2014-02-06 00:00:00-05:00    -62.7305        8342.2
 19048.1       19195.8     2014-02-24 00:00:00-05:00  2014-02-26 00:00:00-05:00    147.609         8406.84
 18675.4       19358.1     2014-03-10 00:00:00-04:00  2014-03-17 00:00:00-04:00    682.662         8714.15
