  Buy Price    Sell Price  Buy Time                   Sell Time                        Profit    Capital
-----------  ------------  -------------------------  -------------------------  ------------  ---------
    78            80.4759  2021-11-02 00:00:00-04:00  2021-11-03 00:00:00-04:00   2.47588       1031.74
    83.4774       83.7869  2021-11-04 00:00:00-04:00  2021-11-05 00:00:00-04:00   0.309471      1035.57
    83.7869       83.7869  2021-11-05 00:00:00-04:00  2021-11-05 00:00:00-04:00   1.52588e-05   1035.57
    83.443        81.7236  2021-11-08 00:00:00-05:00  2021-11-09 00:00:00-05:00  -1.71936       1014.23
    85.5701       87.0193  2021-11-18 00:00:00-05:00  2021-11-19 00:00:00-05:00   1.44917       1031.41
    87.0193       83.6248  2021-11-19 00:00:00-05:00  2021-11-24 00:00:00-05:00  -3.39451        991.172
    83.6248       79.012   2021-11-24 00:00:00-05:00  2021-11-26 00:00:00-05:00  -4.61279        936.498
    83.3988       78.732   2021-12-08 00:00:00-05:00  2021-12-13 00:00:00-05:00  -4.66684        884.094
    81.2914       80.8001  2021-12-23 00:00:00-05:00  2022-01-04 00:00:00-05:00  -0.491249       878.751
    63.3707       55.7466  2022-02-02 00:00:00-05:00  2022-02-03 00:00:00-05:00  -7.62413        773.028
    61.897        52.3472  2022-02-09 00:00:00-05:00  2022-02-11 00:00:00-05:00  -9.54981        653.761
    49.1835       52.2391  2022-03-17 00:00:00-04:00  2022-03-18 00:00:00-04:00   3.05555        694.377
    52.2391       52.2391  2022-03-18 00:00:00-04:00  2022-03-18 00:00:00-04:00   0              694.377
    54.9311       55.9332  2022-03-22 00:00:00-04:00  2022-03-25 00:00:00-04:00   1.00214        707.044
    58.4779       61.4745  2022-03-28 00:00:00-04:00  2022-03-29 00:00:00-04:00   2.9966         743.276
    59.6274       57.1614  2022-03-30 00:00:00-04:00  2022-03-31 00:00:00-04:00  -2.46605        712.536
    56.9157       56.4736  2022-04-01 00:00:00-04:00  2022-04-05 00:00:00-04:00  -0.442123       707.001
    32.7071       32.4713  2022-05-27 00:00:00-04:00  2022-05-31 00:00:00-04:00  -0.235798       701.903
    31.7148       31.5773  2022-06-01 00:00:00-04:00  2022-06-03 00:00:00-04:00  -0.13755        698.859
    31.9703       32.7464  2022-06-06 00:00:00-04:00  2022-06-07 00:00:00-04:00   0.776169       715.826
    32.0784       29.4649  2022-06-08 00:00:00-04:00  2022-06-09 00:00:00-04:00  -2.61343        657.507
    26.321        29.013   2022-07-15 00:00:00-04:00  2022-07-22 00:00:00-04:00   2.69203        724.755
    29.013        26.8515  2022-07-22 00:00:00-04:00  2022-07-26 00:00:00-04:00  -2.16148        670.761
    30.2018       31.0664  2022-07-27 00:00:00-04:00  2022-07-28 00:00:00-04:00   0.864595       689.963
    32.7759       32.7268  2022-07-29 00:00:00-04:00  2022-08-01 00:00:00-04:00  -0.0491257      688.929
    32.4222       35.5171  2022-08-02 00:00:00-04:00  2022-08-04 00:00:00-04:00   3.09485        754.69
    34.3184       38.2091  2022-08-08 00:00:00-04:00  2022-08-15 00:00:00-04:00   3.89067        840.249
    36.8926       34.7311  2022-08-18 00:00:00-04:00  2022-08-19 00:00:00-04:00  -2.16148        791.02
    34.7311       31.9998  2022-08-19 00:00:00-04:00  2022-08-22 00:00:00-04:00  -2.73133        728.812
    20.57         21.06    2022-10-21 00:00:00-04:00  2022-10-26 00:00:00-04:00   0.49           746.174
    21.7          18.2     2022-10-28 00:00:00-04:00  2022-11-02 00:00:00-04:00  -3.5            625.823
    21.45         21.86    2022-11-10 00:00:00-05:00  2022-11-17 00:00:00-05:00   0.41           637.785
    22.73         20.77    2022-11-23 00:00:00-05:00  2022-11-29 00:00:00-05:00  -1.96           582.789
    23.56         23.69    2022-11-30 00:00:00-05:00  2022-12-01 00:00:00-05:00   0.130001       586.005
    18.49         19.46    2023-01-10 00:00:00-05:00  2023-01-18 00:00:00-05:00   0.969999       616.747
    18.85         21.6     2023-01-19 00:00:00-05:00  2023-01-24 00:00:00-05:00   2.75           706.724
    22.68         23.33    2023-01-26 00:00:00-05:00  2023-01-27 00:00:00-05:00   0.65           726.978
    22.91         24.39    2023-01-31 00:00:00-05:00  2023-02-01 00:00:00-05:00   1.48           773.941
    26.91         24.32    2023-02-02 00:00:00-05:00  2023-02-09 00:00:00-05:00  -2.59           699.452
    26.06         24.57    2023-02-15 00:00:00-05:00  2023-02-16 00:00:00-05:00  -1.49           659.46
    23.56         22.68    2023-03-06 00:00:00-05:00  2023-03-07 00:00:00-05:00  -0.879999       634.828
    22.99         21.78    2023-03-08 00:00:00-05:00  2023-03-09 00:00:00-05:00  -1.21           601.416
    23.11         24.94    2023-03-15 00:00:00-04:00  2023-03-16 00:00:00-04:00   1.83           649.04
    24.83         25.88    2023-03-20 00:00:00-04:00  2023-03-21 00:00:00-04:00   1.05           676.487
    24.68         24.87    2023-03-22 00:00:00-04:00  2023-03-28 00:00:00-04:00   0.190001       681.695
    26.23         26.94    2023-03-29 00:00:00-04:00  2023-03-30 00:00:00-04:00   0.710001       700.147
    28.26         26.89    2023-03-31 00:00:00-04:00  2023-04-05 00:00:00-04:00  -1.37           666.205
    27.43         27.37    2023-04-06 00:00:00-04:00  2023-04-10 00:00:00-04:00  -0.0599995      664.748
    26.13         27.52    2023-04-12 00:00:00-04:00  2023-04-18 00:00:00-04:00   1.39           700.109
    27.46         26.82    2023-04-19 00:00:00-04:00  2023-04-20 00:00:00-04:00  -0.639999       683.792
    28.25         28.17    2023-04-28 00:00:00-04:00  2023-05-01 00:00:00-04:00  -0.0799999      681.856
    27.42         26.88    2023-05-02 00:00:00-04:00  2023-05-03 00:00:00-04:00  -0.540001       668.428
    28.21         27.89    2023-05-05 00:00:00-04:00  2023-05-09 00:00:00-04:00  -0.32           660.845
    28.79         31.96    2023-05-10 00:00:00-04:00  2023-05-18 00:00:00-04:00   3.17           733.609
    31.74         30.33    2023-05-19 00:00:00-04:00  2023-05-24 00:00:00-04:00  -1.41           701.02
    32.52         34.98    2023-05-25 00:00:00-04:00  2023-05-26 00:00:00-04:00   2.46           754.049
    35.47         34.75    2023-05-30 00:00:00-04:00  2023-05-31 00:00:00-04:00  -0.720001       738.743
    36.01         36.82    2023-06-01 00:00:00-04:00  2023-06-02 00:00:00-04:00   0.810001       755.36
    36.9          36.86    2023-06-05 00:00:00-04:00  2023-06-06 00:00:00-04:00  -0.0400009      754.541
    36.18         36.62    2023-06-08 00:00:00-04:00  2023-06-09 00:00:00-04:00   0.439999       763.717
    38.49         39.35    2023-06-12 00:00:00-04:00  2023-06-13 00:00:00-04:00   0.859997       780.781
    40.19         38.85    2023-06-14 00:00:00-04:00  2023-06-21 00:00:00-04:00  -1.34           754.749
    40.14         37.41    2023-06-22 00:00:00-04:00  2023-06-26 00:00:00-04:00  -2.73           703.417
