       Buy Price        Sell Price  Buy Time                   Sell Time                             Profit           Capital
----------------  ----------------  -------------------------  -------------------------  -----------------  ----------------
     1.4244e+10        1.3218e+10   2011-11-23 00:00:00-05:00  2011-11-28 00:00:00-05:00       -1.026e+09       927.97
     9.792e+09         9.75e+09     2011-12-12 00:00:00-05:00  2011-12-14 00:00:00-05:00       -4.20004e+07     923.989
     3.384e+09         3.492e+09    2012-02-08 00:00:00-05:00  2012-02-27 00:00:00-05:00        1.08e+08        953.478
     3.192e+09         3.324e+09    2012-03-05 00:00:00-05:00  2012-03-07 00:00:00-05:00        1.32e+08        992.908
     1.452e+09         1.79e+09     2012-04-02 00:00:00-04:00  2012-04-16 00:00:00-04:00        3.38e+08       1224.04
     1.333e+09         1.91e+09     2012-05-03 00:00:00-04:00  2012-05-25 00:00:00-04:00        5.77e+08       1753.88
     1.725e+09         2.002e+09    2012-05-29 00:00:00-04:00  2012-05-31 00:00:00-04:00        2.77e+08       2035.51
     8.19e+08          7.33e+08     2012-07-23 00:00:00-04:00  2012-07-26 00:00:00-04:00       -8.6e+07        1821.77
     7.2e+08           7.27e+08     2012-07-30 00:00:00-04:00  2012-08-01 00:00:00-04:00        7e+06          1839.48
     5.05e+08          3.863e+08    2012-08-20 00:00:00-04:00  2012-09-10 00:00:00-04:00       -1.187e+08      1407.11
     2.845e+08         3.537e+08    2012-09-24 00:00:00-04:00  2012-09-26 00:00:00-04:00        6.92e+07       1749.37
     2.915e+08         3.001e+08    2012-09-27 00:00:00-04:00  2012-10-03 00:00:00-04:00        8.6e+06        1800.98
     2.846e+08         2.779e+08    2012-10-08 00:00:00-04:00  2012-10-15 00:00:00-04:00       -6.7e+06        1758.58
     2.563e+08         2.917e+08    2012-10-18 00:00:00-04:00  2012-11-05 00:00:00-05:00        3.54e+07       2001.48
     2.7e+08           2.76e+08     2012-11-06 00:00:00-05:00  2012-11-12 00:00:00-05:00        6e+06          2045.95
     2.766e+08         3.005e+08    2012-11-13 00:00:00-05:00  2012-11-15 00:00:00-05:00        2.39e+07       2222.74
     2.036e+08         1.988e+08    2012-12-03 00:00:00-05:00  2012-12-10 00:00:00-05:00       -4.8e+06        2170.34
     1.854e+08         1.905e+08    2012-12-11 00:00:00-05:00  2012-12-17 00:00:00-05:00        5.1e+06        2230.04
     1.76e+08          2.09e+08     2012-12-18 00:00:00-05:00  2012-12-31 00:00:00-05:00        3.3e+07        2648.17
     1.045e+08         1.185e+08    2013-01-29 00:00:00-05:00  2013-01-31 00:00:00-05:00        1.4e+07        3002.95
     1.21e+08          1.012e+08    2013-02-04 00:00:00-05:00  2013-02-11 00:00:00-05:00       -1.98e+07       2511.56
     8.78e+07          8.78e+07     2013-03-18 00:00:00-04:00  2013-03-19 00:00:00-04:00        0              2511.56
     7.86e+07          8.02e+07     2013-03-20 00:00:00-04:00  2013-03-25 00:00:00-04:00        1.6e+06        2562.68
     6.39e+07          7.03e+07     2013-04-16 00:00:00-04:00  2013-04-22 00:00:00-04:00        6.4e+06        2819.35
     5.86e+07          5.97e+07     2013-05-15 00:00:00-04:00  2013-05-16 00:00:00-04:00        1.1e+06        2872.27
     5.81e+07          7.868e+07    2013-05-20 00:00:00-04:00  2013-06-26 00:00:00-04:00        2.058e+07      3889.68
     3.457e+07         3.87e+07     2013-08-12 00:00:00-04:00  2013-09-09 00:00:00-04:00        4.13e+06       4354.37
     2.973e+07         3.378e+07    2013-09-26 00:00:00-04:00  2013-10-10 00:00:00-04:00        4.05e+06       4947.55
     3.312e+07         3.718e+07    2013-10-14 00:00:00-04:00  2013-10-15 00:00:00-04:00        4.06e+06       5554.05
